,0
t2m,0.0515973650920237
tp,0.022792745949173274
msl,0.008963020393600673
v10,0.026643297028416498
u10,0.014452340201099574
EAWR,0.01874052526696213
SCAN,0.013470940666852227
NAO,0.02567515916284618
EA,0.031647958832406946
u250,0.012390369896935198
u850,0.02131121968165677
u500,0.011792583014801374
u700,0.02368918266311305
u1000,0.018415010777236677
v250,0.024007553435606403
v850,0.0429170278756885
v500,0.03628538672284118
v700,0.029105241388852038
v1000,0.08981422586343886
r250,0.015737877034532645
r850,0.011333050845383053
r500,0.010154538805176512
r700,0.011985941010255468
r1000,0.012740447660887697
z250,0.03909341638126278
z500,0.01695842360196685
z700,0.017509427131418443
z850,0.010411673238298995
z1000,0.010207077401831839
t250,0.020061221578535515
t850,0.0351368784820108
t500,0.026000513347439844
t700,0.11812332222744443
t1000,0.04303109430847171
dtd250,0.011268848682987482
dtd850,0.010983147487944767
dtd500,0.01315785924712979
dtd700,0.027238281948540718
dtd1000,0.015155805664929327
