,0
t2m,0.04273093236391134
tp,0.0347641477599032
msl,0.023440959224999683
v10,0.021993389348274838
u10,0.022012387698729156
EAWR,0.039404185602599485
SCAN,0.0424380352943496
NAO,0.054099542144016875
EA,0.031073469970774127
u250,0.017430790586494656
u850,0.02098513979668194
u500,0.015830746057281096
u700,0.0198234171313686
u1000,0.02267317855689488
v250,0.015403831938264912
v850,0.016733968468167014
v500,0.014347516912112881
v700,0.014812463981094561
v1000,0.027951829647314304
r250,0.01617239329469042
r850,0.011531050452464988
r500,0.013021628735792528
r700,0.01837119255803123
r1000,0.014990727756784812
z250,0.0963381451226717
z500,0.05214854997749614
z700,0.06462867640890643
z850,0.04661080699434631
z1000,0.022597441301880204
t250,0.02400652270427527
t850,0.009346779331588301
t500,0.015474571655258966
t700,0.012726532733580162
t1000,0.011953476861233762
dtd250,0.01594857263814065
dtd850,0.01227127288916731
dtd500,0.010553754285069154
dtd700,0.015892893068849244
dtd1000,0.017465078746539405
