,0
t2m,0.02283741774129857
tp,0.02828794267429049
msl,0.009056519377912884
v10,0.012884237534410549
u10,0.012774313281502645
EAWR,0.019423925402936245
SCAN,0.02656106409368863
NAO,0.02616672300840381
EA,0.029581428526292843
u250,0.040533937678217655
u850,0.013542768579171967
u500,0.02864458615402401
u700,0.02441822130755783
u1000,0.012453334183313996
v250,0.13563654091777178
v850,0.015935523359901727
v500,0.06005238448069616
v700,0.02437913407016645
v1000,0.01434465660905928
r250,0.013482443705603909
r850,0.0136433223213959
r500,0.016686104503856033
r700,0.013276587653583232
r1000,0.014568016324091618
z250,0.038071019878534215
z500,0.038033374591731124
z700,0.04442213625617288
z850,0.030414644801171013
z1000,0.014561555641075068
t250,0.02184562112505711
t850,0.010897873194095678
t500,0.016848369573566852
t700,0.011505193145778442
t1000,0.015302936469166249
dtd250,0.013480104735893977
dtd850,0.013394341342673043
dtd500,0.01326348052894371
dtd700,0.011331904070680418
dtd1000,0.07745631115631203
