,0
t2m,0.021733789538031668
tp,0.02688853559179618
msl,0.015064723690416155
v10,0.012113285437065724
u10,0.01831513809867724
EAWR,0.025091762668694697
SCAN,0.022265445231648324
NAO,0.049794720969557234
EA,0.01970241162405887
u250,0.036651956755709175
u850,0.0284048941422311
u500,0.046912497768253035
u700,0.09350701295716118
u1000,0.03488540483469813
v250,0.01856635254537909
v850,0.011014811764832334
v500,0.011710207541517996
v700,0.008920307211010262
v1000,0.013771780420991786
r250,0.014867523103177087
r850,0.014830490764545238
r500,0.02095527981929971
r700,0.03009036105052404
r1000,0.016174762532890293
z250,0.046948414604527464
z500,0.0164973317308533
z700,0.035045807422516874
z850,0.02572154476867464
z1000,0.018661434079280708
t250,0.013530285163900169
t850,0.013686970670894054
t500,0.033720032247750366
t700,0.019850648919681836
t1000,0.013187075838484467
dtd250,0.013555100408949307
dtd850,0.011528265388863142
dtd500,0.023130399670853723
dtd700,0.07512208138323848
dtd1000,0.027581151639365174
