,0
t2m,0.01686630731833707
tp,0.01922436023124873
msl,0.017145924651281542
v10,0.011406120263999927
u10,0.028887067826350126
EAWR,0.027707681514457592
SCAN,0.02695738336423809
NAO,0.02313202744109177
EA,0.02381602597837621
u250,0.07581009727369369
u850,0.011973234533623155
u500,0.028308635657945072
u700,0.018339448147144846
u1000,0.024542766418988563
v250,0.032055707896401796
v850,0.01345095175448617
v500,0.014060510431123947
v700,0.010100570263066216
v1000,0.01065408050549263
r250,0.013544844933830881
r850,0.020953557571289454
r500,0.01672228650124753
r700,0.022194968024271663
r1000,0.014319468508307061
z250,0.052362845057574776
z500,0.023163202127369917
z700,0.017946982439886523
z850,0.01300621106111618
z1000,0.01280764226313194
t250,0.020128026466514858
t850,0.034982189208450865
t500,0.17323209387464364
t700,0.031506650059230416
t1000,0.017894367486605455
dtd250,0.01211822651080871
dtd850,0.018656648495412684
dtd500,0.018292075694444163
dtd700,0.015403486130598472
dtd1000,0.016325326113917474
