,0
t2m,0.03294993998072187
tp,0.034279827492370366
msl,0.014763198119565028
v10,0.011932362175326745
u10,0.04252762797743758
EAWR,0.023865801630925502
SCAN,0.03704292784298623
NAO,0.08120360115509698
EA,0.025363807420149008
u250,0.015956210677606678
u850,0.031853003302052374
u500,0.02323229820083394
u700,0.02164916762211806
u1000,0.019911360360192726
v250,0.03930548940932253
v850,0.02004957227660097
v500,0.019432080614510076
v700,0.024641024527598848
v1000,0.015290405610946942
r250,0.024737668809638822
r850,0.011875663466716558
r500,0.018242336012922265
r700,0.014319735990303483
r1000,0.01913956870027456
z250,0.015794791799792696
z500,0.019710951577095685
z700,0.05518502122537501
z850,0.08720788304382188
z1000,0.020369918575352593
t250,0.024431131191688646
t850,0.022666432409135726
t500,0.015560225671858375
t700,0.009157156240534987
t1000,0.02706867325294953
dtd250,0.021106677865569225
dtd850,0.0112755023947186
dtd500,0.016574230736073878
dtd700,0.013207985625617012
dtd1000,0.017118739014198085
