,0
t2m,0.03242114837798383
tp,0.026293316676262585
msl,0.015194092499964031
v10,0.014980425278675047
u10,0.022603546913520692
EAWR,0.045481558302527515
SCAN,0.03709054965410064
NAO,0.042954587276699374
EA,0.037161482684103096
u250,0.023235872918323644
u850,0.024952251913363543
u500,0.01970508833160062
u700,0.03315762448480214
u1000,0.03353428264499245
v250,0.02096875711958137
v850,0.025396610253730283
v500,0.023167466730803544
v700,0.022003930042525734
v1000,0.01656961671600611
r250,0.022237615462326693
r850,0.017181327610149448
r500,0.027008756426556552
r700,0.018193252431769755
r1000,0.03253697028332982
z250,0.02048287632097234
z500,0.019528238328050385
z700,0.021100330902639033
z850,0.020608440136074026
z1000,0.014215143213373766
t250,0.04753709706991623
t850,0.021857098969843548
t500,0.0270911372491728
t700,0.017069203232334546
t1000,0.034964541172701445
dtd250,0.023446254749155217
dtd850,0.018695644446939306
dtd500,0.02488144558099611
dtd700,0.018600635426243354
dtd1000,0.03589178216788945
