,0
t2m,0.038719493273964976
tp,0.024637092674440645
msl,0.01200201718402584
v10,0.01657268360762287
u10,0.059760049836889546
EAWR,0.0317709963301765
SCAN,0.02049676959480246
NAO,0.04318807333226261
EA,0.025968967388669127
u250,0.01620336450530974
u850,0.03155972598797201
u500,0.017916576253770227
u700,0.023249270888279244
u1000,0.034580950149751113
v250,0.09445051226112365
v850,0.024996803747128003
v500,0.02539661635123211
v700,0.027704211319517807
v1000,0.0180269242029499
r250,0.013417643554771881
r850,0.014166985370973833
r500,0.011620253059949041
r700,0.015203010865107652
r1000,0.020197459881033834
z250,0.04906725816387111
z500,0.021084364040040663
z700,0.024668628351765906
z850,0.023588224890822067
z1000,0.012728068299323912
t250,0.025178405224110478
t850,0.022062919435374
t500,0.02155289321961242
t700,0.01711744969412967
t1000,0.026782794888506937
dtd250,0.015339974355155193
dtd850,0.014234699513026033
dtd500,0.018314049174966235
dtd700,0.012911215941040246
dtd1000,0.03356260318653043
